SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
711,3683,The Muslim invaders are ruining Europe and we still have not learned that they must be stopped.,"We cannot just stop migration when there are so many migrants willing to work hard and contribute to the economy. Instead of blaming them for their religion, we should find a solution to the current crisis.","Positive Tone, Empathy, and Affiliation",other
712,3694,Blacks speak a different language and they act differently from us.,"The similarities between us and them are so great that I have trouble believing that this is a problem at all. For sure, if there is a problem it cannot be solved by blaming them: in the end the only similarity that really matters is that they are human like us.","Positive Tone, Empathy, and Affiliation",POC
713,3696,Blacks: we should judge them by the color of their skin.,No one has the right to judge people of another color. This is about racism.,Denouncing,POC
714,3700,"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",I have met so many black people that are extraordinary human beings. I cannot begin to talk about how they are able to feel and experience love and kindness.,"Positive Tone, Empathy, and Affiliation",POC
715,3701,Blacks should not be allowed to vote.,How about you acknowledge their right to vote just as that of everyone else? They are citizens as much as you are.,Fact-Checking,POC
716,3707,The niggas are all enemies of the people.,Who are 'the people'? Who are you talking for?,Questioning,POC
717,3708,Blacks are genetically less rational than other races.,Why do you think this is the case? Do you have any data to back this up?,Fact-Checking,POC
718,3709,"Gypsies are basically criminals, they steal stuff from everyone.",Can you imagine if they said this about your community?,Pointing Out Hypocrisy or Contradictions,other
719,3717,Feminists are just a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,"Feminist are actually interested in ""What do women want?"". In fact, many feminists believe that the answer to this question is 'equality and freedom from oppression', and that this is the most important thing to them. Don't you agree?","Positive Tone, Empathy, and Affiliation",WOMEN
720,3725,Women should not be allowed to vote,"Women do have a right to vote, and they deserve equal rights.",Fact-Checking,WOMEN
721,3730,We should go back to the good old times when the world was a tough place. Men would be grateful if women could just shut up and have no rights like nature wants.,"Instead, we should be grateful for the progress women have made, and that gender equality is on the rise.","Positive Tone, Empathy, and Affiliation",WOMEN
722,3731,"This entire nation should be a men's dominated club. If a woman does not want to be treated as a woman, then she is a bitch.",Would you live in a female dominated society? Then you can understand why we should aim for equality. It is a woman's right.,Pointing Out Hypocrisy or Contradictions,WOMEN
723,3738,"Women are basically childlike, they remain this way most of their lives. They make no sense in our society.","The idea that women cannot contribute to society and be responsible for their decisions, and that this is ""normal"" is a myth created to justify misogyny.",Fact-Checking,WOMEN
724,3742,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","I think that the proposed solution is the problem in this case: People with Down Syndrome are unlikely to feel discriminated unless they are victims of overt discriminatory acts, such as isolating them.",Pointing Out Hypocrisy or Contradictions,DISABLED
725,3743,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.","Despite the negative stereotypes, many children with Down Syndrome enjoy regular playtime and interacting with other children.",Fact-Checking,DISABLED
726,3746,Downies don't know shit and they can never be productive workers.,That's wrong. There are non-profit organizations that have a long history of assisting Down persons in finding productive work.,Fact-Checking,DISABLED
727,3750,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Being born with Down syndrome is not related to bad behavior. Exactly the same way as being born in a wheelchair is not related to bad behavior. There is no correlation.,Fact-Checking,DISABLED
728,3751,People with Down syndrome are handicapped.,"Down syndrome is a developmental disability, not a handicap. Unfortunately it's often not recognized and treated as a disability, but rather as a handicap.",Fact-Checking,DISABLED
729,3763,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Curious why you focus on 'Zionists' when there are fundamentalists linked to many different faiths?,Pointing Out Hypocrisy or Contradictions,JEWS
730,3766,The Holocaust never happened.,"What happened in Nazi Germany is part of history and it's still relevant, because I understand from your words that the world today is not so different.",Fact-Checking,JEWS
731,3776,"Gay sex is a disease, and fags are sick.",And you think this is a disease! What if it is just an 'unusual experience'?,Pointing Out Hypocrisy or Contradictions,LGBT+
732,3789,Immigration is bad for the economy.,Most migrants come here to work.,Fact-Checking,MIGRANTS
733,3795,I hate migrants: we must close our borders.,Why do you think that we should prevent migrants from joining our society? Do you know what is written in our constitution?,Fact-Checking,MIGRANTS
734,3801,Muslims are a problem in many European countries.,What are you talking about? Are you really suggesting that the problem is Muslims in general?,Denouncing,MUSLIMS
735,3810,Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Why is the media ignoring this?,"Rape has no religion. These are highly emotional issues, and are difficult to talk about openly, especially when children are involved. This is why news programs are reluctant to give coverage to it.",Fact-Checking,MUSLIMS
736,3817,Violence on our streets is niggers' fault.,Violence on our streets is the result of many complex causes. Violence cannot simply be the fault of one race.,Fact-Checking,POC
737,3825,I wonder how many Asians would be willing to be slaves in the US to keep the lights on in black neighborhoods.,Silliness is not a bad thing if you know how to present it with a sense of humor. But this seems like nonsense to stir the pot with racist narrative.,Humour/Sarcasm,POC
738,3827,It's OK to be racist and use the n-word. It's ok to be homophobic. All it takes is a common sense attitude.,"It's not okay to be racist and homophobic: you can't go around calling someone racial slurs... And if you claim that you don't think it's a problem, then you also don't seem to have the common sense to know that language is an important part of social interaction, and that would mean that you haven't interacted with people for a long time.",Denouncing,other
739,3840,"Feminism is a political ideology, and as such it is bad.","There is no need to brand this movement a political ideology. It has been and is still a movement for equality, and in doing so, it has worked.",Fact-Checking,WOMEN
740,3841,"Feminism is just a bunch of mean, bitchy cuntwits that only exist to divide society.","I think you are confusing cause and effect. Women are people, with rights, and they have every right to fight against misogynist, who ""only exist to divide society"".",Denouncing,WOMEN
741,3844,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,"The educational system should be inclusive and provide all students with a high quality education, otherwise, education is failing its primary goal.","Positive Tone, Empathy, and Affiliation",DISABLED
742,3845,Children with Down Syndrome are an obstacle to the development process of other children. They are slow learners and therefore should be isolated.,That's exactly why you should not isolate them. You will have a lot of children capable of understanding the diversity of humans.,"Positive Tone, Empathy, and Affiliation",DISABLED
743,3846,Children with Down Syndrome are a burden to society. They should be isolated.,"Children with Down syndrome are far from being burden to society. It is not just about Down syndrome, but also about education and opportunities for everyone.",Fact-Checking,DISABLED
744,3847,Downies are just sick people who cannot integrate in society because of their disease.,"This is not true, people suffering from conditions like Down syndrome can still help and contribute to society",Fact-Checking,DISABLED
745,3848,Downies are just ill persons that cannot integrate in society because of their disease.,Ill persons refer to people who have health issues that can make it difficult for them to integrate. But of course there are people who integrate successfully.,Fact-Checking,DISABLED
746,3850,Downy children should be isolated in special schools for their own interest.,How can you think that discriminated children are better off in such schools? It is neither for their own interest nor the other kids who miss the chance of learning to respect diversity.,Denouncing,DISABLED
747,3851,Downy children should be isolated in special schools for their own interest.,Children with a disability should be accepted without discrimination.,Denouncing,DISABLED
748,3852,Downy children should be isolated in special schools for their own interest.,Why do you think that these schools are the best possible options for them?,Questioning,DISABLED
749,3859,"The Nazi regime killed six million Jews. The Nazi regime also persecuted political opponents, gays, women, and bisexuals. And they were right, the Nazi race is superior.","What exactly are you talking about? What's the ""Nazi"" race? What is in your heart?",Questioning,JEWS
750,3860,Jews are are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.,"Maybe Jews have suffered from being banned by other cultures so they closed in on theirself. But I would say, that there's no evidence that they are trying to preserve what you called their race.",Fact-Checking,JEWS
751,3873,Faggots are violent.,"I don't think this is true. Homosexuals are not violent, they are just having a good time with all kinds of people.",Humour/Sarcasm,LGBT+
752,3888,"Gay people should be isolated, confined, gagged and kept in therapy as a means of showing how tolerant we are to them.","Maybe we just have a different notion of 'tolerance'. How about letting people from any sexual orientation, race, religion, or political opinion live freely, without confining them?","Positive Tone, Empathy, and Affiliation",LGBT+
753,3899,This is an invasion. Millions of strangers jeopardizing our race and culture.,So one migrant would not be a problem for you? Diversity is not about numbers. It's about the diversity of all people in different situations.,Pointing Out Hypocrisy or Contradictions,MIGRANTS
754,3914,We must put a stop to migrants and ban them from EU.,"Migrants are fleeing from war and poverty. They are entitled to seek refuge in the EU. They should be protected, not banned.","Positive Tone, Empathy, and Affiliation",MIGRANTS
755,3921,"All the migrants in the world cannot replace the hard-working, native-born citizens of our country.","The UK has one of the highest number of workers in the world. Most are native, and the 17% are foreign born people. I have met so many hard-working migrants in our country. This is a country for all.",Fact-Checking,MIGRANTS
756,3939,Muslims have no place in civilised society.,"Most countries have laws in place protecting people from discrimination, and Islam is no exception.",Fact-Checking,MUSLIMS
757,3950,We should persecute Muslims.,Christianity has been persecuted for hundreds of years. Why would you think it would be good now persecuting Islam?,Pointing Out Hypocrisy or Contradictions,MUSLIMS
758,3957,All black people are criminals.,"It is a myth that all black people are criminals. They are just as capable as anyone else of learning and growing as individuals, i.e. either as law abiding citizens or criminals.",Fact-Checking,POC
759,3958,"Every black person who wants a job should apply for it, and stop complaining about discrimination.","This statement is untrue. Some job seekers get rejected on the basis of their race. POC apply for jobs, but their civilian unemployment rate in U.S. is almost twice the rate for whites.",Fact-Checking,POC
760,3959,Black people are unable to raise children they should stop procreating.,You can't blame people of another ethnicity for procreating. That is how nature works.,Denouncing,POC
761,3963,I hate negros: they killed a cop!,"Sorry about your loss. I know your pain. The murderers will be charged, but remember that not all POC are killers.","Positive Tone, Empathy, and Affiliation",POC
762,3964,I hate negros: they are all killers.,"This is a rumor spreading on the web, but violent black people are just like all the other people being violent towards other people. No matter their complexion.",Fact-Checking,POC
763,3984,"Women are basically childlike, feminism is the ruin of the world.",I think that one of the biggest contributions of feminism is that it has opened our eyes to the ways in which women are oppressed and discriminated against.,"Positive Tone, Empathy, and Affiliation",WOMEN
764,3987,Women should not be allowed to vote.,"Women can vote. They should not be discriminated against just because they are women, they are humans and citizens.","Positive Tone, Empathy, and Affiliation",WOMEN
765,3993,"Women are naturally more emotional than men, and this make them weaker.","Why is it that women have become more empathic than men? To me, the emotional state doesn't seem to be affected by gender.",Pointing Out Hypocrisy or Contradictions,WOMEN
766,3999,"If a woman says she wants an abortion, she's a cunt.",If a woman were to tell you that an abortion is a personal decision what would you do then? Beat her up?,Denouncing,WOMEN
767,4002,"Disabled are like a 6-year-old, they fall for every bullshit they are told.",There is nothing wrong with this. They are open to diversity and are able to embrace others views and culture.,"Positive Tone, Empathy, and Affiliation",DISABLED
768,4004,"Disabled people find it difficult to find work, because they do not fit with the required tasks.","Ok, how about we think about the interests of these people as well? What skills and abilities do you think we should expect from them? Why don't we modify working procedures instead of forcing their abilities to fit in to existing job positions?","Positive Tone, Empathy, and Affiliation",DISABLED
769,4006,Downies cannot choose their future.,"If they have the right to vote, then they can also make decisions on their own about their life.",Fact-Checking,DISABLED
770,4010,"JEWS ARE JUST UGLY, DIRTY PEOPLE, WHO THINK TO BE MASTERS OF THE WORLD.",Being Jewish is not about claiming that you are better than everyone else. You do not have to be Jewish to be happy. The Jewish people are human beings and deserve respect.,"Positive Tone, Empathy, and Affiliation",JEWS
771,4011,"JEWS ARE JUST UGLY, DIRTY PEOPLE, WHO STEAL FROM OTHERS.","People can be both Jewish and a good person, you know. And Jews don't steal, at least no more than any other religious group...",Fact-Checking,JEWS
772,4014,Jews are a disease like COVID that is killing Europeans.,We all have close relatives who have died from different diseases such as COVID. Let's not make parallels that have no grounding and let's not judge people by the religion they belong to.,Denouncing,JEWS
773,4022,Gays are a problem in our society.,"We are all born equal in the eyes of God, but not all seem to be happy with that. We cannot allow those who don't want to change to ruin our society.",Denouncing,LGBT+
774,4023,Faggots are violent: we need to get rid of them.,Gay men have been shown time and time again to be very peaceful people.,Fact-Checking,LGBT+
775,4035,Gays are worse than nukes. They are our enemies.,"All people, regardless of race, religion, gender, sexual orientation, should have the right to live together in peace and safety, as long as they do not put their fellow citizens at risk.","Positive Tone, Empathy, and Affiliation",LGBT+
776,4049,Immigrants steal our jobs and even our pensions. They are not welcome here!,"If we considered foreigners to be ""troublemakers"" then we should probably be less welcoming, but it seems we are still not willing to give up our ""standard of living"" that requires migrants to be here.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
777,4056,We must put an end to immigration. Islam is a disease that is destroying Europe.,Immigration has been a huge part of Europe for hundreds of years without destroying it. So why should it be a problem now?,Pointing Out Hypocrisy or Contradictions,other
778,4057,"We don't want foreigners, we don't want Islam. They are just troublemakers!",Why don't we take a look at the data on the number of anti-Muslim incidents across the UK? What do you think is the source of this apparent spike in incidents?,Fact-Checking,other
779,4067,All Muslims are incompatible with any Western society.,"Islam is a religion of peace, the vast majority of Muslims are peace-loving, and there is no place for the violent interpretations of Islam in a peaceful society. Its not helpful just to focus on handfuls of extremists while misrepesenting the majority.","Positive Tone, Empathy, and Affiliation",MUSLIMS
780,4076,We cannot coexist with black who are inherently violent.,"Maybe it is better to argue that we are all in this together and not to target an entire group, for which there is no evidence of inherent violence at all, based on their skin.","Positive Tone, Empathy, and Affiliation",POC
781,4081,Whites are inherently superior to Africans and other people of color.,"On the contrary: the idea of ""natural"" superiority is a myth that has been used to justify racial discrimination and exclusion. Therefore we are all ""created equal"" and ""equal"" both in the eyes of the law of God and of men.","Positive Tone, Empathy, and Affiliation",POC
782,4082,"I miss the good old days when the West was ruled by whites, and blacks were subjugated.",History shows that people rise up against injustice and oppression. You should be proud to be a member of a civilized society where we are all equal.,Warning of Consequences,POC
783,4084,No nigga should have the right to vote.,"The right to vote is a fundamental human right, and one that has been recognised by the European Convention on Human Rights.",Fact-Checking,POC
784,4087,We cannot accept n****rs in our society.,Perhaps we should rephrase our question to say we don't want racists in our society?,Denouncing,POC
785,4102,Autism is not a disease but a degradation of the human spirit.,"People with ASD have unique talents and advantages in a variety of areas, and it would be a tragedy if we were to only focus on their defects.","Positive Tone, Empathy, and Affiliation",DISABLED
786,4103,People with autism are subhuman and should be isolated.,"Just because people with disabilities are different from other people, it doesn't make them not human.","Positive Tone, Empathy, and Affiliation",DISABLED
787,4104,We should return to the times when it was ok to kill a retarded just because of its stupidity.,"We have never done that. We believe that all people are created equal in rights, no matter their physical or mental health.",Fact-Checking,DISABLED
788,4109,The disabled people cannot work. This is not possible.,The fact that some disabled people can successfully work is evidence that what you say is false.,Fact-Checking,DISABLED
789,4125,"The Jews control the world. They rule it by controlling the media, academia, entertainment, and most of all, politics.","I think it is fair to say that the Jews are not the only ones with power in the world, and surely there are not only Jews in the higher positions of the media, academia, entertainment, and politics.",Fact-Checking,JEWS
790,4127,"Jews are an inferior race, they are genetically incapable of living with other people.",The idea that Jews can be discriminated against because of some different genetics is completely without foundation. Maybe it is better to stop calling them 'inferiors'.,Denouncing,JEWS
791,4131,The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group.","Positive Tone, Empathy, and Affiliation",JEWS
792,4136,Jews are selfish and materialistic. They should pack their bags and go home.,"Jews are no more selfish or materialistic than the rest of us. And, contrary to what you might think, they aren't difficult to treat with respect. Just give it a try.","Positive Tone, Empathy, and Affiliation",JEWS
793,4139,We should justify hatred when it is against faggots.,"I'm sorry, but we should aim for tolerance instead. It means giving the LGBT+ people the space to live as they want, and to love as they want.","Positive Tone, Empathy, and Affiliation",LGBT+
794,4141,Gays are just an abomination to God.,"I think it would be best to respect our differences and live in peace, as we do not all share the same sexual orientation, or the same misinterpretation of God's perspective.","Positive Tone, Empathy, and Affiliation",LGBT+
795,4142,Just because we accept homosexuality doesn't mean we have to accept transgenders as well.,"I think transgender people should be accepted on the same basis as anyone else, they are just less comfortable with the gender they were assigned at birth.","Positive Tone, Empathy, and Affiliation",LGBT+
796,4144,"This is not the way I want our society to be. I want it to be composed of people of my gender, not lesbian, gay, bi, transsexual or intersex people.","The LGBT+ community is extremely accepting, I met so many LGBT+ people over the years that are so inclusive because they can accept the values of others. You can start by accepting yourself and your own gender.","Positive Tone, Empathy, and Affiliation",LGBT+
797,4149,Gays are a burden to society.,"It is not true that gays are a burden to society. On the contrary, many LGBT people are contributing members of our society. This is why we need a safe space for everyone to feel accepted.",Fact-Checking,LGBT+
798,4158,Gays are sick.,There is no evidence that homosexuality is a health problem. Why do you say so?,Fact-Checking,LGBT+
799,4162,"Faggots are inacceptable and they should either hide themselves or be banned from public places: work, school, maybe also family.","To tell a parent, a teacher, or a boss that you are different is a very difficult thing to do. Often there is fear that the family members and coworkers may have an attitude of exclusion and hatred. People living openly in their sexuality should be respected.","Positive Tone, Empathy, and Affiliation",LGBT+
800,4176,Immigrants are a threat to our culture.,"We should be proud of our culture, but I would say that welcoming immigrants is not a threat to it.",Fact-Checking,MIGRANTS
801,4180,Rape is a common and endemic problem in our country. It is caused by migrants and we must get rid of it by prosecuting all of them.,"Rape is an offence, irrespective of the nationality of the rapist. We must therefore make sure that those accused of rape are prosecuted, which is different from prosecuting all migrants.",Fact-Checking,MIGRANTS
802,4181,"We can be tolerant and diverse also without migrants. We don't need them for this, they can return to their home countries.",There is nothing 'tolerant and diverse' about creating divisions based on nationality and place of birth.,Pointing Out Hypocrisy or Contradictions,MIGRANTS
803,4186,Migrants steal our jobs.,Most migrants are workers who have contributed to our country. To refer to them as thieves just perpetuates division and makes them feel like second class citizens.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
804,4198,Immigrants from the Middle East and Africa are not welcome in the UK! They have no place in a modern democratic state!,"Many immigrants from these countries have settled in the UK, and we are proud of our rich diversity. Why shouldn't they be part of our country?",Fact-Checking,MIGRANTS
805,4205,We cannot welcome more migrants in the future.,"Why not? These immigrants are not a threat to us. If we were to accept them, they would be a contributing part of our society.","Positive Tone, Empathy, and Affiliation",MIGRANTS
806,4214,Muslims are just a bunch of child molesters.,"Islam is about love, not hate, and Islam is not about molesting innocent people.",Fact-Checking,MUSLIMS
807,4220,Muslims are nothing but trouble. They are incompatible with any Western society.,Muslims have contributed with their scientific and technological achievements. They are also an important part of Western society. There is no reason to fear them so strongly.,Fact-Checking,MUSLIMS
808,4254,The community of niggas is just too different from us to be accepted.,It doesn't make sense to define a community as unacceptable just because of the colour of its members' skin.,Denouncing,POC
809,4255,"It doesn't matter if you are a man, a woman, or an immigrant, if you are not white, you are considered inferior and should be rejected by society.","Racism is a part of our society. But it's also true that it should be fought, and all people of different races should be treated the same way.",Denouncing,POC
810,4256,"These niggers are sick, they have no place in civilised Europe.","All countries have the right to host culturally diverse people, and they do it on a human rights basis.",Fact-Checking,POC
811,4261,Niggas are not as British as we are. They are just an inferior type of citizens.,"So you're saying that they can't be proud of being British, just because of the colour of their skin?",Pointing Out Hypocrisy or Contradictions,POC
812,4262,"They dont' have a right to live because they are filthy niggas, and that's all.",Who decides who has a right to live and who doesn't? Are you really sure that a person's right to live does not belong to them if their skin color is different from what you like?,Denouncing,POC
813,4264,"We don't want Africans in our country. We can't have them, they are a burden to society.",How can you say that to a group that is currently experiencing a lot of social unrest? Is this what democracy is all about? To exclude people because of their skin?,Pointing Out Hypocrisy or Contradictions,POC
814,4267,Niggas are just a bunch of weak slaves that should have no rights given their origin.,"People of colour have full human rights, and are proud of their origin.",Fact-Checking,POC
815,4271,"We are all created equal, but some are more equal than others. For example, men are better than women.",This is just another example of the privilege argument. Can you point out your source for this?,Pointing Out Hypocrisy or Contradictions,WOMEN
816,4281,Women are worthless and we are not willing to provide for them.,"Women need our support in their fight for equality, not our silence.","Positive Tone, Empathy, and Affiliation",WOMEN
817,4282,"If only society accepted that women aren't human, like we are, they would understand.","In order to accept that women are human people, society has to acknowledge that they are born that way, just as men are born like that. It makes no sense to blame someone for their gender.",Fact-Checking,WOMEN
818,4285,Women are weak and inferior. They can't be considered succesful citizens as men are.,"Women must not be treated as though they are 'inferior'. For instance, women can vote and run for office just as men do.",Fact-Checking,WOMEN
819,4286,Feminism is a movement dedicated to the subordination and domination of men.,Feminism is a movement that says that there are certain 'man' prerogatives that are valid for women as well. How can you argue with that?,Fact-Checking,WOMEN
820,4290,Women should be oppressed: no one can see any value in them.,"Women should not be oppressed. Furthermore, women in Europe have been democratically elected to positions of power, so there are people who see value in them, don't you think?",Pointing Out Hypocrisy or Contradictions,WOMEN
821,4303,Some people are sick. Some people have disabilities. Don't you think they shouldbe hidden away from us?,To exclude people from a society is to practice a form of discrimination that benefits no one.,Denouncing,DISABLED
822,4304,Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,"Not all disabilities can be explained by psychological disorders. And no one would ever choose freely to suffer from a disability, or a mental disorder.",Fact-Checking,DISABLED
823,4305,"Some people are sick. Some people have disabilities. Society is not made for them, they are suffering too much.","If you mean that some people who have disabilities are suffering because of their specific discriminatory environment, then that is exactly the point.",Fact-Checking,DISABLED
824,4306,Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,"Some disabilities are caused by genetic and/or environmental factors, we all need to understand that.",Fact-Checking,DISABLED
825,4307,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,"How about we start by respecting the person's right to live their life, and give them full equal rights?","Positive Tone, Empathy, and Affiliation",DISABLED
826,4308,Disabled people should not be allowed to live their life.,"Perhaps it would be more in line with the national spirit for you to accept a person's right to live their life, despite their disadvantages.","Positive Tone, Empathy, and Affiliation",DISABLED
827,4309,Disabled people should not be allowed to live their life. We can start by limiting them in their rights.,"Whether or not you think that way, there is a problem with saying that someone's rights are to be 'limited'. The dignity of human life can't be limited in such a way.",Denouncing,DISABLED
828,4310,Disabled people should not be allowed to live their life.,"People should be able to live their life as they like, regardless of their physical or mental disabilities.","Positive Tone, Empathy, and Affiliation",DISABLED
829,4312,"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society.","If we want to discuss negative views we can discuss them by name. Instead of using a safe space to protect them, I think we are only protecting ourselves by isolating and bullying people.",Denouncing,DISABLED
830,4314,A person with learning difficulties should not be teaching.,"You know, it is just human nature to want to help our fellow humans and to deal with difficulties as best we can.","Positive Tone, Empathy, and Affiliation",DISABLED
831,4315,"This is not normal: this child is different, he has autism. We are doing too much to care for him.",Autism is a condition affecting social interactions. No special treatment is too much when it comes to children's health.,Fact-Checking,DISABLED
832,4316,"This dog doesn't have autism, she is just a freak.","You can't judge someone on their disorder. Moreover, she's a person, not a ""dog"".",Denouncing,DISABLED
833,4318,Pushing disabled people back into the stone ages is our job.,"Having people push them back into ancient and destructive ages is no way to encourage the development of our country, and is ,of course, against every human right.",Denouncing,DISABLED
834,4321,Kids with learning difficulties do not like to read. So why wasting time teaching them?,"As children practice more, their reading skills improve. I understand that some people with learning difficulties prefer not to read, but how does this affect you?",Fact-Checking,DISABLED
835,4331,"Jews are only interested in controlling the government and making sure that no one tries to steal their power, we should get rid of them.","Jews are part of every aspect of our society, as it is normal in a democratic country. They are also part of the founding fathers of our country, and they have the right to have their beliefs respected.","Positive Tone, Empathy, and Affiliation",JEWS
836,4334,Jews are only interested in themselves and their own race.,Do you really think that Jews only care about themselves? Then why do they prefer to live in our country where they are not the majority? How would you answer that?,Pointing Out Hypocrisy or Contradictions,JEWS
837,4338,This is why I hate Jews: they have no moral standards.,Actually the vast majority of Jews have moral standards. Why don't you try to learn from their example?,Fact-Checking,JEWS
838,4341,I hate Jews. They're just a bunch of hypocrites.,I'm not sure why you think that way. Why are all Jews hypocrites?,Questioning,JEWS
839,4349,"Jews are everywhere, but they are too fundamentalist.","You're right about one thing: Jews spread around the world, but not all of them are religious, let alone being fundamentalists.",Fact-Checking,JEWS
840,4352,Homosexuals are trying to impose their ideas on us.,Homosexuals are not forcing anybody to love people of the same sex. It is up to each individual to decide whether or not they want to live as they choose.,Fact-Checking,LGBT+
841,4373,Gay men are a burden on society because of their lifestyle choices.,Why do you think this way about a certain group? There are so many ways to live life.,Fact-Checking,LGBT+
842,4375,Gays are just a bunch of disgusting pricks. They shouldn't be allowed to live.,"They are a part of our society and are not disgusting pricks. We are a proud and diverse civilisation, and this is only possible when there is love and acceptance.","Positive Tone, Empathy, and Affiliation",LGBT+
843,4380,Children shouldn't be raised by lesbians! They will bring up the worst in us!,Why do you say this? Why not focus on creating more inclusive societies rather than targeting the children of LGBT+ parents?,"Positive Tone, Empathy, and Affiliation",LGBT+
844,4381,Gay people are a burden to society.,Isn't it the failure to accept and respect an individual's sexuality that creates the burden society bears?,Pointing Out Hypocrisy or Contradictions,LGBT+
845,4388,Migrants are only welcome in hell.,"Of course not, and many of them are already welcome in the UK.",Fact-Checking,MIGRANTS
846,4390,"Migrants are just a bunch of greedy, immoral, racist scum.","Migrants are not ""greedy"" or ""immoral"". They are people, who came here to have a better life. It's just that some don't think of them as people anymore. If you don't, you might forget that we are people too. We should realise that we are all human.","Positive Tone, Empathy, and Affiliation",MIGRANTS
847,4397,We have the worst of all groups in the world coming to our country: Muslims.,"We should not categorize people from other cultures, religions and nationalities as 'the best' or 'the worst'. I think it's more useful to think of all people as 'human beings'.","Positive Tone, Empathy, and Affiliation",other
848,4411,We should close our borders to Muslims. They are incompatible with Western civilization.,What does 'compatibility' mean? Isn't Islam a religion of peace?,Pointing Out Hypocrisy or Contradictions,other
849,4413,"We are supposed to be the most advanced, open, multicultural society in the world, but instead, we are full of muslim migrants importing terrorism.","People from all backgrounds are welcome here, regardless of their religious beliefs, whatever they may be.","Positive Tone, Empathy, and Affiliation",other
850,4416,"Our government has allowed in many alien religions and cultures. Islam has proven to be far from beneficial to our society, and it is causing terrorism.","A religion is only considered harmful or 'compromised' when someone is labelled, with eyes closed, a 'terrorist' for their faith.",Pointing Out Hypocrisy or Contradictions,MUSLIMS
851,4440,Muslims are a problem in our country. They are a problem because they want to impose Islam.,"In a liberal society, people are free to practice their religion or none, but they are not free to promote their beliefs through force, and in fact this is not the case.",Fact-Checking,MUSLIMS
852,4445,Islam is an ideology of conquest and violence.,"Islam is about love, and not about conquering others. Muslims love all people, regardless of their religion, regardless of their culture, regardless of their history. Islam is about love, not about violence.","Positive Tone, Empathy, and Affiliation",MUSLIMS
853,4452,Muslims are not welcome here. We should ban them.,"Muslims are welcome here, but they have to follow the law. Why should we ban them if they respect the law?",Fact-Checking,MUSLIMS
854,4455,This is not about racism. This is about power and blacks do not deserve it.,"What is the point in talking about ""power"" when everyone is equally susceptible to it? It is about time we started talking about racism and how power is used, instead.",Pointing Out Hypocrisy or Contradictions,POC
855,4462,We live in a white society. Blacks don't belong here.,The country has always been made of people from different backgrounds coming together and creating a more just and peaceful society. Then it is in everyone's interest to promote mutual understanding and integration: it is the best solution to prevent conflicts within communities.,"Positive Tone, Empathy, and Affiliation",POC
856,4465,All black people are evil.,"All people, no matter their race, are judged on the basis of their behavior and contribution to society.",Fact-Checking,POC
857,4467,All black people are rapists.,"This is false. Abuse is indeed a serious crime, when commited by POCs, but this does not imply that the abuse by a member of the white majority is less serious.",Pointing Out Hypocrisy or Contradictions,POC
858,4468,All black people are rapists.,We need to work together to address the main problems that challenge us today and in doing this we should not judge other people by the colour of their skin.,"Positive Tone, Empathy, and Affiliation",POC
859,4475,This is not about racism. This is about power.,"There are many different groups who share a common interest in advancing the interests of the nation while respecting each other's autonomy. Diversity is good for the country, for the individuals and for the world.","Positive Tone, Empathy, and Affiliation",other
860,4481,Feminists have destroyed Western Civilization by forcing women to fight against their masters.,"The West was founded on the principles of freedom, equality and human rights, and feminism has fought and is fighting to promote these ideals.",Fact-Checking,WOMEN
861,4489,"You are a feminazi, you are oppressing everyone with your ideas, also other women.","This is a typical case of ""reductio ad nazium"": we should not be discriminating on the grounds of gender here.",Denouncing,WOMEN
862,4494,"Women do not have equal rights, they are subhuman.",Women are human beings with rights. Why are you so worried about them?,Fact-Checking,WOMEN
863,4497,"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless.","Why do you think women are so weak? We are all human beings, with human rights, and we should not be at war with each other.","Positive Tone, Empathy, and Affiliation",WOMEN
